name,iata,icao,lat,lon,country,alt
Shanghai Pudong International Airport,PVG,ZSPD,31.143370,121.805199,China,13
Shanghai Hongqiao International Airport,SHA,ZSSS,31.197870,121.336304,China,10
Shenyang Taoxian International Airport,SHE,ZYTX,41.639839,123.483398,China,198
Shijiazhuang Zhengding International Airport,SJW,ZBSJ,38.274376,114.694427,China,233
Jieyang Chaoshan International Airport,SWA,ZGOW,23.552500,116.505836,China,180
Sanya Phoenix International Airport,SYX,ZJSY,18.302891,109.412201,China,92
Shenzhen Bao'an International Airport,SZX,ZGSZ,22.639250,113.810600,China,13
Qingdao Liuting International Airport,TAO,ZSQD,36.266102,120.374397,China,33
Tengchong Tuofeng Airport,TCZ,ZUTC,24.939379,98.482025,China,6247
Tongren Fenghuang Airport,TEN,ZUTR,27.883333,109.308891,China,-1
Tongliao Airport,TGO,ZBTL,43.556660,122.199699,China,144
Jinan Yaoqiang International Airport,TNA,ZSJN,36.857208,117.215897,China,76
Tianjin Binhai International Airport,TSN,ZBTJ,39.124352,117.346100,China,33
Tangshan Sannuhe Airport,TVS,ZBTS,39.718784,117.997910,China,34
Huangshan Tunxi International Airport,TXN,ZSTX,29.733330,118.255798,China,131
Taiyuan Wusu International Airport,TYN,ZBYN,37.746891,112.628403,China,2575
Urumqi Diwopu International Airport,URC,ZWWW,43.907101,87.474243,China,2125
Yulin Yuyang Airport,UYN,ZLYL,38.274166,109.730278,China,-1
Weifang Airport,WEF,ZSWF,36.646702,119.119003,China,-1
Weihai Dashuibo Airport,WEH,ZSWH,37.188141,122.236069,China,145
Wenzhou Longwan International Airport,WNZ,ZSWZ,27.912220,120.851898,China,7874
Wuhan Tianhe International Airport,WUH,ZHHH,30.783751,114.208099,China,113
Wuyishan Airport,WUS,ZSWY,27.716667,117.966667,China,614
Wuzi Sunan Shuofang International Airport,WUX,ZSWX,31.492889,120.424377,China,16
Wanzhou Wuqiao Airport,WXN,ZULP,30.799679,108.426949,China,-1
Xiangyang Liuji Airport,XFN,ZHXF,32.150551,112.290802,China,164
Xilinhot Airport,XIL,ZBXH,43.915550,115.963799,China,5906
Xi'an Xianyang International Airport,XIY,ZLXY,34.447109,108.751503,China,1572
Xiamen Gaoqi International Airport,XMN,ZSAM,24.544029,118.127701,China,59
Xining Caojiabao Airport,XNN,ZLXN,36.525322,102.037537,China,98
Xuzhou Guanyin Airport,XUZ,ZSXZ,34.052925,117.554077,China,66
Yibin Caiba Airport,YBP,ZUYB,28.797659,104.543953,China,7054
Yuncheng Guangong Airport,YCU,ZBYC,35.018002,110.992996,China,-1
Yichang Sanxia Airport,YIH,ZHYC,30.671000,111.441002,China,-1
Yining Airport,YIN,ZWYN,43.955833,81.330276,China,2185
Yiwu Airport,YIW,ZSYW,29.344563,120.028809,China,197
Yanji Chaoyangchuan Airport,YNJ,ZYYJ,42.885662,129.439362,China,624
Yantai Penglai International Airport,YNT,ZSYT,37.657223,120.987221,China,59
Yancheng Nanyang Airport,YNZ,ZSYN,33.385555,120.125275,China,197
Yangzhou Taizhou Airport,YTY,ZSYA,32.563057,119.718887,China,7
Zhaotong Airport,ZAT,ZPZT,27.316668,103.800003,China,6824
Zhanjiang Airport,ZHA,ZGZJ,21.214439,110.358299,China,213
Zhongwei Airport,ZHY,ZLZW,37.568935,105.152527,China,4050
Zhuhai Jinwan Airport,ZUH,ZGSD,22.006660,113.376297,China,138
Zunyi Xinzhou Airport,ZYI,ZUZY,27.590000,106.999725,China,-1
